PrdBrief,PrdCode,Risk,BeginDate,EndDate,ShowExpireDate,SaleChannelName,AreaCode
交银理财稳享灵动慧利14个月10号,JY020257,R2(谨慎型),2022-05-23,2022-06-01,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿鑫远生金十四月开7A,118907A,R3(稳健型),2022-05-23,2022-05-26,2032-05-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿鑫远生金十四月开7S,118907S,R3(稳健型),2022-05-23,2022-05-26,2032-05-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养睿远稳健4号养老理财,103510,R2(谨慎型),2022-05-23,2022-06-01,2027-06-02,网银专业版|网银大众版|手机,全行
农银理财安心灵动2天第2期,NY040201,R2(谨慎型),2022-05-20,2022-05-23,2022-06-16,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
建信理财嘉鑫固收2022年第116期,JX010246,R3(稳健型),2022-05-20,2022-05-26,2024-07-29,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
信银理财全盈象固收稳健14个月定开4号B,ZX020222,R2(谨慎型),2022-05-20,2022-05-25,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
信银理财全盈象固收稳健14个月定开4号G,ZX020223,R2(谨慎型),2022-05-20,2022-05-25,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
信银理财安盈象固收稳健十四天持有期2号,ZX040201,R2(谨慎型),2022-05-13,2022-05-18,2103-09-15,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
华夏理财固收纯债一年定开8号B,HX020206,R2(谨慎型),2022-05-13,2022-05-19,2100-05-20,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
交银理财固收精选9个月封闭1号,JY010208,R2(谨慎型),2022-05-12,2022-05-18,2023-01-18,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
中银海外优选固收QDII美元封闭式22年01,ZYD1201A,R2(谨慎型),2022-05-12,2022-05-18,2023-02-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
中银海外优选固收QDII美元封闭式22年01,ZYD1201J,R2(谨慎型),2022-05-12,2022-05-18,2023-02-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿金鼎十四月封闭15E,107915E,R2(谨慎型),2022-05-10,2022-05-16,2023-07-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿金鼎十四月封闭15A,107915A,R2(谨慎型),2022-05-10,2022-05-16,2023-07-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利49号B,660049B,R2(谨慎型),2022-05-10,2022-05-16,2024-06-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利49号A,660049A,R2(谨慎型),2022-05-10,2022-05-16,2024-06-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
中银理财-稳裕（3个月封闭式）22年03,ZY010219,R1(保守型),2022-05-09,2022-05-11,2022-08-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财中证500看涨价差一年2号,125002,R2(谨慎型),2022-05-06,2022-05-12,2023-05-13,可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远她享两年封闭3C,107753C,R3(稳健型),2022-05-06,2022-05-12,2024-05-13,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远她享两年封闭3A,107753A,R3(稳健型),2022-05-06,2022-05-12,2024-05-13,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财嘉鑫固收2022年第115期,JX010245,R3(稳健型),2022-05-06,2022-05-12,2024-06-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
建信理财嘉鑫固收2022年第114期,JX010244,R3(稳健型),2022-05-06,2022-05-12,2023-06-14,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿鑫远尊享1A,PB11871A,R3(稳健型),2022-04-29,2022-05-09,2024-07-10,柜台|可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿鑫远尊享1C,PB11871C,R3(稳健型),2022-04-29,2022-05-09,2024-07-10,托管网银,全行
光大理财阳光金13M丰利13期I私行尊享,GDPB0201,R2(谨慎型),2022-04-29,2022-05-09,2023-06-12,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
光大理财阳光金13M丰利13期A,GD010207,R2(谨慎型),2022-04-29,2022-05-09,2023-06-12,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿增利48号A,660048A,R2(谨慎型),2022-04-28,2022-05-09,2023-06-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财稳享1个月1号（尊享版）,JYPB0303,R2(谨慎型),2022-04-28,2022-05-05,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财稳享灵动慧利6个月9号,JY020256,R2(谨慎型),2022-04-28,2022-05-09,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财颐养丰润十八月封闭9A,100189A,R2(谨慎型),2022-04-27,2022-05-05,2023-11-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
农银理财农银安心每年开放第17期,NY020209,R2(谨慎型),2022-04-27,2022-05-05,2032-05-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿智远稳进三年封闭1C,109201C,R3(稳健型),2022-04-26,2022-05-05,2025-05-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远稳进三年封闭1A,109201A,R3(稳健型),2022-04-26,2022-05-05,2025-05-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招智睿远平衡四十九期A,103244A,R3(稳健型),2022-04-26,2022-05-05,2025-05-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿天添金稳健型2号,107123A,R2(谨慎型),2022-04-26,2022-05-05,2042-05-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财博享鑫荣2年封闭1号,JY010207,R3(稳健型),2022-04-26,2022-05-06,2024-05-08,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿美元金葵一年开9J-钞,2115J,R2(谨慎型),2022-04-25,2022-05-05,2032-05-06,网银专业版|网银大众版|手机|托管网银,全行
招银理财招睿美元金葵一年开9A-汇,2115A,R2(谨慎型),2022-04-25,2022-05-05,2032-05-06,网银专业版|网银大众版|手机|托管网银,全行
中银理财-稳裕（3个月封闭式）22年02,ZY010218,R1(保守型),2022-04-25,2022-04-27,2022-08-05,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
信银理财全盈象固收稳健14个月定开3号G,ZX020221,R2(谨慎型),2022-04-25,2022-05-06,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
信银理财全盈象固收稳健14个月定开3号B,ZX020220,R2(谨慎型),2022-04-25,2022-05-06,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿增利47号A,660047A,R2(谨慎型),2022-04-21,2022-04-27,2023-06-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿卓远稳进两年开15C,103745C,R3(稳健型),2022-04-21,2022-04-27,2032-04-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿卓远稳进两年开15A,103745A,R3(稳健型),2022-04-21,2022-04-27,2032-04-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财嘉鑫固收2022年第110期,JX010243,R3(稳健型),2022-04-21,2022-04-27,2024-06-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财和鼎高评级30天持有1A,107819A,R1(保守型),2022-04-21,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
